Business Name,Owner/Operator,Phone Number,Liscense Status,Physical Address
AUGUSTUS E SMITH,AUGUSTUS EUGENE SMITH / OWNER,9032276464,Active,"103 N MAIN ST
BONHAM, TX. 75418"
B.D. SMITH TOWING,BRANDT SMITH / OWNER,8173330706,Expired,"13619 BRETT JACKSON RD.
FORT WORTH, TX. 76179"
BARRY MICHAEL SMITH,BARRY MICHAEL SMITH / OWNER,8066544404,Active,"4501 W CEMETERY RD
CANYON, TX. 79015"
HEATH SMITH,HEATH A SMITH / OWNER,940-552-0687,Expired,"1529 WILBARGER ST
VERNON, TX. 76384"
HEATH SMITH,HEATH A SMITH / OWNER,9405520687,Expired,"1529 WILBARGER ST
VERNON, TX. 76384"
HYSMITH AUTOMOTIVE,WILLIAM THOMAS HYSMITH / PRESIDENT,ASHLEY ERIN HYSMITH / TREASURER,Active,"1210 US 380 BYPASS
GRAHAM, TX. 76450"
HYSMITH AUTOMOTIVE & TRUCK REPAIR INC,HYSMITH ERIN ASHLEY / TREASURER,WILLIAM THOMAS HYSMITH / PRESIDENT,Suspended,"927 LOVING HWY
GRAHAM, TX. 76450"
HYSMITH AUTOMOTIVE & TRUCK REPAIR INC,WILLIAM THOMAS HYSMITH / PRESIDENT,ASHLEY ERIN HYSMITH / TREASURER,Active,"1210 380 BYPASS
GRAHAM, TX. 76450"
JEFF & WENDY SMITH,JEFF SMITH / PARTNER,WENDY SMITH / PARTNER,Suspended,"10842 FM 2138 N
JACKSONVILLE, TX. 75766"
JEFF SMITH,JEFFREY JOHN SMITH / OWNER,8324354670,Active,"4338 HARVEY RD
CROSBY, TX. 77532"
LUTHER SMITH,LUTHER EUGENE SMITH / OWNER,281-838-9435,Insurance and/or fees not applied,"20001 FM 2100 RD
CROSBY, TX. 77532"
MAURICE SMITH,MAURICE SMITH / OWNER,7134544462,Active,"5505 SAVANNAH WOODS LN
ROSHARON, TX. 77583"
METRO LOCKSMITHS INC,ESTHER ENRIQUEZ / MANAGER,SOCORRO M ARREOLA / OWNER,Suspended,"200 S WALL ST
ITASCA, TX. 76055"
RICKY SMITH,RICKY SMITH / OWNER,9364997917,Suspended,"115 CARTWRIGHT
CONROE, TX. 77301"
RICKY SMITH,RICKY SMITH / OWNER,9364997917,Suspended,"11426 FOSTORIA RD
CLEVELAND, TX. 77328"
SAMMY L SMITH,SAMMY LEE SMITH / OWNER,3252159496,Expired,"355 N 16TH ST
JUNCTION, TX. 76849"
SMITH BRO. WRECKER SERVICE,JEFF SMITH / PARTNER,GLEN SMITH / PARTNER,Expired,"10842 FM 2138 N
JACKSONVILLE, TX. 75766"
SMITH BROS. WRECKER SERVICE,JEFF SMITH / PARTNER,GLEN SMITH / PARTNER,Suspended,"10842 FM 2138 N
JACKSONVILLE, TX. 75766"
"SMITH TOWING & RECOVERY, LLC",RICKY L SMITH / OWNER,9362693915,Active,"12741 HWY 84E
JOAQUIN, TX. 75954"
"SMITH TOWING & RECOVERY,LLC",RICKY L SMITH / CEO,9362693915,Active,"12741 HWY 84 E
JOAQUIN, TX. 75954"
